0,0
300,0
600,0
900,2.15E-16
1200,4.30E-16
1500,6.45E-16
1800,1.08E-15
2100,1.51E-15
2400,2.15E-15
2700,2.58E-15
3000,3.23E-15
3300,3.87E-15
3600,4.73E-15
3900,5.59E-15
4200,6.45E-15
4500,7.31E-15
4800,8.39E-15
5100,9.46E-15
5400,1.05E-14
5700,1.20E-14
6000,1.33E-14
6300,1.46E-14
6600,1.59E-14
6900,1.76E-14
7200,1.91E-14
7500,2.06E-14
7800,2.24E-14
8100,2.43E-14
8400,2.60E-14
8700,2.80E-14
9000,2.99E-14
9300,3.20E-14
9600,3.40E-14
9900,3.61E-14
10200,3.83E-14
10500,4.06E-14
10800,4.32E-14
11100,4.56E-14
11400,4.80E-14
11700,5.05E-14
12000,5.33E-14
12300,5.59E-14
12600,5.87E-14
12900,6.15E-14
13200,6.45E-14
13500,6.73E-14
13800,7.03E-14
14100,7.36E-14
14400,7.68E-14
14700,8.00E-14
15000,8.32E-14
15300,8.67E-14
15600,9.01E-14
15900,9.36E-14
16200,9.70E-14
16500,1.01E-13
16800,1.05E-13
17100,1.08E-13
17400,1.12E-13
17700,1.16E-13
18000,1.20E-13
18300,1.24E-13
18600,1.28E-13
18900,1.32E-13
19200,1.37E-13
19500,1.41E-13
19800,1.45E-13
20100,1.50E-13
20400,1.54E-13
20700,1.59E-13
21000,1.63E-13
21300,1.68E-13
21600,1.73E-13
21900,1.78E-13
22200,1.83E-13
22500,1.88E-13
22800,1.93E-13
23100,1.98E-13
23400,2.03E-13
23700,2.08E-13
24000,2.14E-13
24300,2.19E-13
24600,2.25E-13
24900,2.30E-13
25200,2.36E-13
25500,2.41E-13
25800,2.47E-13
26100,2.53E-13
26400,2.59E-13
26700,2.65E-13
27000,2.71E-13
27300,2.77E-13
27600,2.83E-13
27900,2.89E-13
28200,2.95E-13
28500,3.02E-13
28800,3.08E-13
29100,3.14E-13
29400,3.21E-13
29700,3.28E-13
30000,3.34E-13
30300,3.41E-13
30600,3.48E-13
30900,3.55E-13
31200,3.62E-13
